Name,Average Brightness,Contrast,Entropy,Sharpness,Spatial Frequency,Dynamic Range
BSDS300_10_46076.jpg,123.57038922459483,67.5125228887928,7.6458304391843885,903.7682293268367,4535.905563372165,1.0
BSDS300_11_66039.jpg,63.04423978255754,61.730187076705135,7.10203337785421,2270.455725927683,6247.718983989248,1.0
BSDS300_12_249087.jpg,129.0675448993206,57.50236861824791,7.64944150090882,1463.456673999034,6540.741091909003,0.9647058823529412
BSDS300_13_20008.jpg,116.08693380655997,49.055173814569656,7.164685653689457,872.214038613061,4834.413837296116,0.9803921568627451
BSDS300_14_42044.jpg,38.339628629348255,42.865106762804935,5.9487808530263475,1279.4334748897418,5527.442088877697,1.0
BSDS300_15_108070.jpg,68.27618776216907,44.32492646421459,7.009188283601255,3808.025323495852,8270.193172687219,1.0
BSDS300_16_87065.jpg,129.36930676183013,53.59419467357806,7.666750823679988,2579.2287493706617,8695.647167689403,1.0
BSDS300_17_143090.jpg,101.55663283700667,54.59375888964922,7.67818023901129,366.52983072019316,3501.1638368410045,1.0
BSDS300_18_117054.jpg,136.22379604622594,63.35656585971986,7.860317988641509,3332.6998750937887,8390.648247052552,1.0
BSDS300_19_189080.jpg,126.49130294924687,74.82915563786975,7.741632173734976,308.42048968413434,3957.036041830341,1.0
BSDS300_1_26031.jpg,98.23786331262967,81.68245305886084,7.363646750178819,10511.06720802996,13782.607845563736,1.0
BSDS300_20_42049.jpg,163.07116534219338,54.14058497547957,6.924020146414803,763.9904988469474,5393.939682105797,0.9764705882352941
BSDS300_2_97033.jpg,137.6654209925238,78.06703341374099,7.736019524806507,2423.6680345321042,7939.368407487232,1.0
BSDS300_3_15088.jpg,138.20160275300464,43.816980726327095,7.122601358779919,1319.9999099711488,4712.283839237877,1.0
BSDS300_4_176039.jpg,117.34447531643794,62.77048146140208,7.777249514030421,1034.7710527926977,5473.667774824993,0.9803921568627451
BSDS300_5_385039.jpg,100.0095660002202,64.86195224038309,7.622023337411192,3046.206588071466,8297.767546312907,1.0
BSDS300_6_188005.jpg,93.03867634708756,50.1461125951932,7.5685934674477755,700.8562557628796,4338.497275971184,1.0
BSDS300_7_25098.jpg,95.59974568385783,73.60719469556929,7.7550835778179215,963.5453935366945,5958.721285613315,1.0
BSDS300_8_101087.jpg,147.5946723142985,79.35533229504662,6.549574615143527,1258.9254790375728,5767.119403469635,1.0
BSDS300_9_187003.jpg,96.51238010116515,61.440811816964406,7.717795654184666,2044.5031302735838,7016.163260378909,1.0
Pistachio_Image_Dataset_10_siirt 380.jpg,49.33631944444444,87.18234222428742,2.7396715034885717,267.53905555555554,4600.287216630731,1.0
Pistachio_Image_Dataset_11_kirmizi 993.jpg,43.06265092592593,83.92155184859429,2.38770358035851,176.37555555555556,4106.375949322109,1.0
Pistachio_Image_Dataset_12_kirmizi 843.jpg,33.895627777777776,69.91695860721971,2.1731585270551474,141.47463888888888,3557.2580780061926,0.9803921568627451
Pistachio_Image_Dataset_13_kirmizi 868.jpg,44.11745462962963,85.5161190878914,2.364794916943167,144.7845111111111,3985.756754379613,1.0
Pistachio_Image_Dataset_14_kirmizi 567.jpg,37.73037222222222,79.64774968880836,2.1308997752529635,137.55175555555556,3739.2904727565783,1.0
Pistachio_Image_Dataset_15_kirmizi 1105.jpg,42.15227592592593,85.5988440721417,2.2594144136415157,172.52424444444443,4170.556543990767,1.0
Pistachio_Image_Dataset_16_siirt 651.jpg,53.88322037037037,91.00561719293071,2.810204688160973,177.52141111111112,3883.424396242515,1.0
Pistachio_Image_Dataset_17_kirmizi 521.jpg,40.38167962962963,77.94196424924576,2.3415690303749295,117.00333333333333,3467.7456046973025,1.0
Pistachio_Image_Dataset_18_kirmizi 1081.jpg,48.040952777777775,85.84511382857131,2.7023123614456783,220.4361,4535.871942149621,1.0
Pistachio_Image_Dataset_19_kirmizi 56.jpg,56.69238703703704,97.76404860781358,2.640337450509467,191.55988888888888,4527.163169355884,1.0
Pistachio_Image_Dataset_1_siirt 578.jpg,44.41716666666667,85.90255068718747,2.3562752907093163,153.2628777777778,3884.9268486481465,1.0
